Name,Area,OxygenProduction,TotalTrees,TreeDensity
SARDAGNA,8664525.799191749,580.5,39,4.491878828917629e-05
MEANO,15714224.619070109,2961.1000000000004,206,0.0001995707759067003
ARGENTARIO,13201049.127449466,6848.299999999997,454,0.0009405388829424761
BONDONE,36956241.92896825,4559.900000000003,292,0.00016180216623468154
MATTARELLO,16399254.780715883,3492.6,264,0.000304611402578743
OLTREFERSINA,6963001.854266091,43063.999999999745,2695,0.012636618780460901
POVO,15434259.00135371,2762.2000000000003,189,0.0001857491182277389
RAVINA-ROMAGNANO,16690346.168951474,3680.800000000003,319,0.00037683460464709914
S.GIUSEPPE-S.CHIARA,3073741.920079143,51717.30000000004,3024,0.03036465078291256
VILLAZZANO,7337647.994499359,5392.40000000001,416,0.0008657406303439664
GARDOLO,8819324.49860434,12353.700000000019,1651,0.0030931507287566733
CENTRO STORICO PIEDICASTELLO,8600752.738436932,53818.39999999966,2964,0.015253211432729402